iter	MultiClass
0	1.084008266
1	1.068648458
2	1.055549156
3	1.04567304
4	1.035539355
5	1.025888073
6	1.016121334
7	1.008437566
8	1.000185503
9	0.9945874422
10	0.9897799695
11	0.9840107273
12	0.9794446578
13	0.9729664206
14	0.9676721394
15	0.9623316383
16	0.9579295935
17	0.9536515493
18	0.9497907149
19	0.9457726797
20	0.9423793593
21	0.9392580901
22	0.9364168901
23	0.9343080391
24	0.9322760313
25	0.9314121802
26	0.9292149999
27	0.9270739746
28	0.9257653338
29	0.9234743549
30	0.9204782192
31	0.9187400695
32	0.9172285238
33	0.9152852595
34	0.9128874397
35	0.9114883207
36	0.910712087
37	0.9089164879
38	0.9068427269
39	0.9044708658
40	0.9030782169
41	0.9017034789
42	0.900613479
43	0.8983441946
44	0.8967648273
45	0.8963210124
46	0.8943698789
47	0.8932454273
48	0.8921343767
49	0.8918451601
50	0.8909241215
51	0.889980239
52	0.8896173014
53	0.8885890025
54	0.8878190597
55	0.886425845
56	0.8862686624
57	0.8848730317
58	0.8838297139
59	0.8827748939
60	0.8823934466
61	0.8813303432
62	0.8803998624
63	0.8795732606
64	0.8787253167
65	0.8776712125
66	0.8766063463
67	0.8756564691
68	0.8747753745
69	0.8743253908
70	0.8738874962
71	0.8731308176
72	0.8726214133
73	0.8719054698
74	0.8709943758
75	0.8705913043
76	0.8699767134
77	0.8693074242
78	0.8684741798
79	0.8675306391
80	0.8671885812
81	0.8660909146
82	0.8645388396
83	0.8638485647
84	0.8629545606
85	0.8614293936
86	0.8605786241
87	0.8594234022
88	0.8587503306
89	0.8583353013
90	0.8579493622
91	0.8566675279
92	0.8563970184
93	0.8551094223
94	0.8546943528
95	0.8538483783
96	0.8537282536
97	0.853450836
98	0.8525314723
99	0.852387868
100	0.8514499527
101	0.8513515042
102	0.8509844318
103	0.850557154
104	0.8504656323
105	0.8499372129
106	0.8493053918
107	0.8491574534
108	0.8488004223
109	0.8481762644
110	0.8477013218
111	0.8473869256
112	0.8471602379
113	0.8461095367
114	0.8457919206
115	0.8451819606
116	0.8448757231
117	0.844093584
118	0.843225101
119	0.8428667297
120	0.8424968728
121	0.8419907403
122	0.8418036259
123	0.8412689354
124	0.8411103972
125	0.8404135636
126	0.8399896621
127	0.839691625
128	0.839092961
129	0.8382777115
130	0.8380004737
131	0.8373095848
132	0.8372053301
133	0.8370813838
134	0.8366935224
135	0.8365135383
136	0.8361897383
137	0.8356667595
138	0.8354149256
139	0.8349279247
140	0.8345419496
141	0.8341825849
142	0.8336961093
143	0.8333198578
144	0.8330780656
145	0.8328323537
146	0.8324714979
147	0.8318122542
148	0.8313389901
149	0.8310876728
150	0.8307523306
151	0.8304094218
152	0.8302721804
153	0.8301614512
154	0.8297253303
155	0.8291144666
156	0.8290782799
157	0.8283984652
158	0.8282847647
159	0.8280195851
160	0.827857685
161	0.8277153489
162	0.8275279004
163	0.8271294094
164	0.8269689276
165	0.8265339191
166	0.8263777143
167	0.8261123487
168	0.8258008823
169	0.8255856244
170	0.8250675899
171	0.8246616292
172	0.8244289765
173	0.8242905955
174	0.8237784762
175	0.8235646397
176	0.8232237364
177	0.8227057671
178	0.822590652
179	0.8222426754
180	0.8218177892
181	0.821622019
182	0.8213079645
183	0.8210801451
184	0.8209365609
185	0.8205437938
186	0.8198518329
187	0.8196283946
188	0.8194860532
189	0.8192466072
190	0.8188116874
191	0.818467034
192	0.8180538565
193	0.8178453456
194	0.8176255755
195	0.8173745483
196	0.8171597808
197	0.8168616875
198	0.8167835476
199	0.8163425652
200	0.8162262854
201	0.8159930314
202	0.8154712607
203	0.8153219479
204	0.8150813892
205	0.8146413976
206	0.8142855441
207	0.8139688624
208	0.813380805
209	0.8131757213
210	0.8128133704
211	0.8125359061
212	0.8122417184
213	0.8120463684
214	0.8119084545
215	0.8115542406
216	0.8111940863
217	0.8109264126
218	0.8107166545
219	0.8099212206
220	0.8097647859
221	0.809609197
222	0.80948855
223	0.8092100457
224	0.8091069241
225	0.8088392639
226	0.8086180251
227	0.8084731495
228	0.80824947
229	0.8079198729
230	0.8076832699
231	0.8075683915
232	0.8074113576
233	0.8073313332
234	0.8071788348
235	0.8070128886
236	0.8068290832
237	0.8066372691
238	0.8064249638
239	0.8062174205
240	0.8060945442
241	0.8058899305
242	0.8055272752
243	0.805203538
244	0.805070209
245	0.8048839099
246	0.8047647559
247	0.8044416387
248	0.80416818
249	0.8034695741
250	0.8029238098
251	0.8025550392
252	0.8023251043
253	0.8020006762
254	0.8017796429
255	0.8014734686
256	0.8012541167
257	0.8009408537
258	0.8005415809
259	0.8003539041
260	0.8001490565
261	0.7999446139
262	0.7997485807
263	0.7993342834
264	0.7992686532
265	0.7989206159
266	0.7984926771
267	0.7982457174
268	0.7981038171
269	0.7974936563
270	0.7971825277
271	0.7969390406
272	0.7967758463
273	0.7966640599
274	0.7964887958
275	0.7962620707
276	0.7960975967
277	0.7959372071
278	0.7955959198
279	0.795415423
280	0.7952464385
281	0.7951037642
282	0.7947505113
283	0.7945589644
284	0.7942877243
285	0.7941402224
286	0.7940127166
287	0.7935194113
288	0.7933190846
289	0.7932141042
290	0.79310512
291	0.7929281064
292	0.7926849245
293	0.792590561
294	0.7923415671
295	0.7919357692
296	0.7915158544
297	0.791460675
298	0.7912119199
299	0.7910440627
300	0.790493
301	0.7902653335
302	0.7901640455
303	0.7898965416
304	0.7896951383
