iter	Passed	Remaining
0	3	1668
1	6	1738
2	10	1674
3	13	1653
4	16	1605
5	19	1618
6	21	1511
7	24	1507
8	26	1444
9	29	1433
10	32	1450
11	35	1463
12	39	1480
13	43	1506
14	45	1464
15	46	1416
16	49	1408
17	52	1411
18	54	1373
19	56	1363
20	60	1369
21	62	1360
22	65	1368
23	68	1363
24	71	1362
25	74	1352
26	76	1336
27	78	1325
28	81	1329
29	84	1331
30	88	1332
31	91	1332
32	93	1329
33	97	1336
34	100	1329
35	103	1328
36	106	1328
37	109	1325
38	112	1331
39	114	1315
40	117	1314
41	121	1324
42	124	1324
43	127	1324
44	130	1322
45	132	1311
46	136	1313
47	139	1314
48	142	1315
49	144	1303
50	147	1297
51	150	1299
52	154	1299
53	157	1297
54	160	1295
55	162	1289
56	165	1287
57	168	1286
58	171	1283
59	174	1281
60	177	1279
61	180	1276
62	184	1276
63	185	1266
64	188	1259
65	191	1256
66	193	1250
67	196	1247
68	198	1239
69	202	1241
70	204	1238
71	207	1235
72	210	1233
73	214	1234
74	218	1235
75	221	1236
76	224	1235
77	228	1236
78	232	1236
79	235	1235
80	238	1234
81	242	1233
82	245	1232
83	248	1229
84	251	1225
85	254	1222
86	256	1219
87	260	1219
88	263	1216
89	266	1214
90	268	1208
91	271	1205
92	274	1203
93	278	1201
94	281	1198
95	284	1197
96	287	1194
97	290	1193
98	293	1189
99	296	1186
100	299	1184
101	302	1182
102	305	1179
103	308	1176
104	312	1173
105	315	1172
106	318	1169
107	321	1167
108	325	1165
109	327	1162
110	331	1160
111	334	1157
112	337	1156
113	340	1153
114	344	1151
115	347	1150
116	350	1147
117	353	1145
118	357	1143
119	360	1140
120	363	1138
121	366	1136
122	369	1133
123	372	1129
124	375	1126
125	378	1122
126	380	1118
127	384	1116
128	387	1114
129	390	1111
130	393	1108
131	396	1105
132	399	1103
133	403	1100
134	406	1098
135	409	1095
136	412	1093
137	415	1090
138	418	1087
139	421	1083
140	424	1081
141	427	1079
142	431	1076
143	434	1073
144	436	1069
145	440	1067
146	443	1064
147	446	1062
148	449	1059
149	452	1056
150	455	1053
151	459	1050
152	462	1048
153	465	1045
154	468	1042
155	471	1038
156	473	1035
157	476	1032
158	480	1029
159	482	1025
160	485	1023
161	489	1020
162	492	1017
163	495	1014
164	498	1011
165	501	1009
166	504	1005
167	507	1003
168	511	1001
169	514	998
170	518	997
171	521	994
172	523	990
173	526	986
174	530	984
175	534	983
176	537	981
177	541	979
178	544	976
179	547	973
180	550	969
181	553	966
182	556	963
183	559	960
184	562	957
185	565	954
186	568	951
187	571	948
188	574	945
189	577	942
190	580	939
191	583	935
192	586	933
193	589	930
194	592	926
195	595	923
196	598	921
197	601	918
198	604	914
199	607	911
200	610	908
201	614	906
202	617	903
203	620	900
204	623	897
205	626	893
206	629	890
207	632	887
208	635	885
209	638	882
210	641	879
211	644	876
212	648	873
213	651	870
214	654	867
215	657	864
216	660	861
217	663	858
218	666	855
219	669	852
220	672	849
221	675	846
222	678	843
223	681	840
224	684	836
225	688	834
226	691	831
227	694	828
228	697	825
229	700	822
230	703	819
231	706	816
232	709	813
233	712	810
234	715	807
235	719	804
236	722	801
237	725	798
238	727	794
239	730	791
240	733	788
241	736	785
242	739	782
243	742	779
244	745	776
245	749	773
246	752	770
247	755	767
248	758	764
249	761	761
250	764	758
251	767	755
252	770	752
253	774	749
254	776	746
255	779	743
256	783	740
257	786	737
258	789	734
259	792	731
260	795	728
261	799	725
262	801	722
263	805	719
264	809	717
265	813	715
266	816	712
267	821	710
268	824	707
269	827	705
270	831	702
271	834	699
272	837	696
273	841	693
